Day ,Items ,Note ,Amount 
52,Human Resource Expense,Counselled,2000
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
52,Salary Expense,Cash Payment - Salary Expense,22506
52,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8787,122
52,Depreciation Expense,Non-Cash Expense - Depreciation,6666
52,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
52,Rental Expense,Cash Payment - Rental - Chicago,2400
52,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2760
52,Rental Expense,Cash Payment - Rental - Los Angeles,1620
52,Rental Expense,Cash Payment - Rental - New York,4020
52,Rental Expense,Cash Payment - Rental - Detroit,1000
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
51,Salary Expense,Cash Payment - Salary Expense,21865
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8335,11
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8378,6
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8389,17
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8414,81
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8417,79
51,Depreciation Expense,Non-Cash Expense - Depreciation,6666
51,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
51,Rental Expense,Cash Payment - Rental - Chicago,2400
51,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2790
51,Rental Expense,Cash Payment - Rental - Los Angeles,1620
51,Rental Expense,Cash Payment - Rental - New York,4020
51,Rental Expense,Cash Payment - Rental - Detroit,1000
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
50,Salary Expense,Cash Payment - Salary Expense,21789
50,Depreciation Expense,Non-Cash Expense - Depreciation,6666
50,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
50,Rental Expense,Cash Payment - Rental - Chicago,2400
50,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2880
50,Rental Expense,Cash Payment - Rental - Los Angeles,1620
50,Rental Expense,Cash Payment - Rental - New York,4020
50,Rental Expense,Cash Payment - Rental - Detroit,1000
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
49,Salary Expense,Cash Payment - Salary Expense,21695
49,Depreciation Expense,Non-Cash Expense - Depreciation,6666
49,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
49,Rental Expense,Cash Payment - Rental - Chicago,2400
49,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2940
49,Rental Expense,Cash Payment - Rental - Los Angeles,1620
49,Rental Expense,Cash Payment - Rental - New York,4020
49,Rental Expense,Cash Payment - Rental - Detroit,1000
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
48,Salary Expense,Cash Payment - Salary Expense,21581
48,Depreciation Expense,Non-Cash Expense - Depreciation,6666
48,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
48,Rental Expense,Cash Payment - Rental - Chicago,2400
48,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,3000
48,Rental Expense,Cash Payment - Rental - Los Angeles,1620
48,Rental Expense,Cash Payment - Rental - New York,4020
48,Rental Expense,Cash Payment - Rental - Detroit,1000
47,Human Resource Expense,Counselled,2000
47,Human Resource Expense,Counselled,2000
47,Human Resource Expense,Counselled,2000
47,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
47,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
47,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
47,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
47,Salary Expense,Cash Payment - Salary Expense,21561
47,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7506,283
47,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7578,25
47,Shipping Expense,Cash Payment - Move Stock ID: 4383,114623
47,Depreciation Expense,Non-Cash Expense - Depreciation,6666
47,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
47,Rental Expense,Cash Payment - Rental - Chicago,2400
47,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,3060
47,Rental Expense,Cash Payment - Rental - Los Angeles,1620
47,Rental Expense,Cash Payment - Rental - New York,4020
47,Rental Expense,Cash Payment - Rental - Detroit,1000
46,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
46,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
46,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
46,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
46,Salary Expense,Cash Payment - Salary Expense,21561
46,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7477,81
46,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7485,99
46,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7494,50
46,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7500,163
46,Depreciation Expense,Non-Cash Expense - Depreciation,6666
46,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
46,Rental Expense,Cash Payment - Rental - Chicago,2400
46,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,150
46,Rental Expense,Cash Payment - Rental - Los Angeles,1620
46,Rental Expense,Cash Payment - Rental - New York,4020
46,Rental Expense,Cash Payment - Rental - Detroit,1000
45,Human Resource Expense,Counselled,2000
45,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
45,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
45,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
45,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
45,Salary Expense,Cash Payment - Salary Expense,21561
45,Shipping Expense,Cash Payment - Move Stock ID: 4999,70309
45,Depreciation Expense,Non-Cash Expense - Depreciation,6666
45,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
45,Rental Expense,Cash Payment - Rental - Chicago,2400
45,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,210
45,Rental Expense,Cash Payment - Rental - Los Angeles,1620
45,Rental Expense,Cash Payment - Rental - New York,4020
45,Rental Expense,Cash Payment - Rental - Detroit,1000
44,Human Resource Expense,Counselled,2000
44,Human Resource Expense,Counselled,2000
44,Human Resource Expense,Counselled,2000
44,Human Resource Expense,Counselled,2000
44,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
44,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
44,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
44,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
44,Salary Expense,Cash Payment - Salary Expense,21561
44,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 360,15000
44,Depreciation Expense,Non-Cash Expense - Depreciation,6666
44,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
44,Rental Expense,Cash Payment - Rental - Chicago,2400
44,Rental Expense,Cash Payment - Rental - Los Angeles,1620
44,Rental Expense,Cash Payment - Rental - New York,4020
44,Rental Expense,Cash Payment - Rental - Detroit,1000
43,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
43,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
43,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
43,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
43,Salary Expense,Cash Payment - Salary Expense,21541
43,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7024,10
43,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7108,17
43,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7110,60
43,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7119,104
43,Shipping Expense,Cash Payment - Move Stock ID: 6892,8501
43,Depreciation Expense,Non-Cash Expense - Depreciation,6666
43,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
43,Rental Expense,Cash Payment - Rental - Chicago,2400
43,Rental Expense,Cash Payment - Rental - Los Angeles,1620
43,Rental Expense,Cash Payment - Rental - New York,4020
43,Rental Expense,Cash Payment - Rental - Detroit,1000
42,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
42,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
42,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
42,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
42,Salary Expense,Cash Payment - Salary Expense,21521
42,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 6931,129
42,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 6945,19
42,Depreciation Expense,Non-Cash Expense - Depreciation,6666
42,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
42,Rental Expense,Cash Payment - Rental - Chicago,2400
42,Rental Expense,Cash Payment - Rental - Los Angeles,1620
42,Rental Expense,Cash Payment - Rental - New York,4020
42,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,513
42,Rental Expense,Cash Payment - Rental - Detroit,1000
41,Human Resource Expense,Cash Payment - Staff Recruiting,15000
41,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
41,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
41,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
41,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
41,Salary Expense,Cash Payment - Salary Expense,21666
41,Depreciation Expense,Non-Cash Expense - Depreciation,6666
41,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
41,Rental Expense,Cash Payment - Rental - Chicago,2400
41,Rental Expense,Cash Payment - Rental - Los Angeles,1620
41,Rental Expense,Cash Payment - Rental - New York,4020
41,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,594
41,Rental Expense,Cash Payment - Rental - Detroit,1000
40,Human Resource Expense,Cash Payment - Staff Recruiting,15000
40,Human Resource Expense,Cash Payment - Staff Recruiting,15000
40,Human Resource Expense,Cash Payment - Staff Recruiting,15000
40,Human Resource Expense,Cash Payment - Staff Recruiting,15000
40,Human Resource Expense,Cash Payment - Staff Recruiting,15000
40,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
40,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
40,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
40,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
40,Salary Expense,Cash Payment - Salary Expense,21223
40,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 6128,24
40,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 6480,26
40,Depreciation Expense,Non-Cash Expense - Depreciation,6666
40,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
40,Rental Expense,Cash Payment - Rental - Chicago,2400
40,Rental Expense,Cash Payment - Rental - Los Angeles,1620
40,Rental Expense,Cash Payment - Rental - New York,4020
40,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,621
40,Rental Expense,Cash Payment - Rental - Detroit,1000
39,Human Resource Expense,Cash Payment - Staff Recruiting,15000
39,Human Resource Expense,Cash Payment - Staff Recruiting,15000
39,Human Resource Expense,Cash Payment - Staff Recruiting,15000
39,Human Resource Expense,Cash Payment - Staff Recruiting,15000
39,Human Resource Expense,Cash Payment - Staff Recruiting,15000
39,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
39,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
39,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
39,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
39,Salary Expense,Cash Payment - Salary Expense,19328
39,Shipping Expense,Cash Payment - Move Stock ID: 5949,14103
39,Depreciation Expense,Non-Cash Expense - Depreciation,6666
39,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
39,Rental Expense,Cash Payment - Rental - Chicago,2400
39,Rental Expense,Cash Payment - Rental - Los Angeles,1620
39,Rental Expense,Cash Payment - Rental - New York,4020
39,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,702
39,Rental Expense,Cash Payment - Rental - Detroit,1000
38,Human Resource Expense,Counselled,2000
38,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
38,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
38,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
38,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
38,Salary Expense,Cash Payment - Salary Expense,17378
38,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5367,98
38,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5375,145
38,Depreciation Expense,Non-Cash Expense - Depreciation,6666
38,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
38,Rental Expense,Cash Payment - Rental - Chicago,2400
38,Rental Expense,Cash Payment - Rental - Los Angeles,1620
38,Rental Expense,Cash Payment - Rental - New York,4020
38,Rental Expense,Cash Payment - Rental - Detroit,1000
37,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
37,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
37,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
37,Salary Expense,Cash Payment - Salary Expense,18536
37,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5177,14
37,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5184,23
37,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5188,11
37,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5361,66
37,Depreciation Expense,Non-Cash Expense - Depreciation,6666
37,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
37,Rental Expense,Cash Payment - Rental - Chicago,2400
37,Rental Expense,Cash Payment - Rental - Los Angeles,1620
37,Rental Expense,Cash Payment - Rental - New York,4020
37,Rental Expense,Cash Payment - Rental - Detroit,1000
36,Salary Expense,Cash Payment - Salary Expense,18922
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5378,178
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5386,110
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5396,17
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5546,20
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5558,87
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5737,90
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5739,88
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5741,185
36,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5756,121
36,Shipping Expense,Cash Payment - Move Stock ID: 5576,6517
36,Depreciation Expense,Non-Cash Expense - Depreciation,6666
36,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
36,Rental Expense,Cash Payment - Rental - Chicago,2400
36,Rental Expense,Cash Payment - Rental - Los Angeles,1620
36,Rental Expense,Cash Payment - Rental - New York,4020
36,Rental Expense,Cash Payment - Rental - Detroit,1000
35,Salary Expense,Cash Payment - Salary Expense,19732
35,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5564,82
35,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5571,198
35,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 360,15000
35,Shipping Expense,Cash Payment - Move Stock ID: 2108,61472
35,Depreciation Expense,Non-Cash Expense - Depreciation,6666
35,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
35,Rental Expense,Cash Payment - Rental - Chicago,2400
35,Rental Expense,Cash Payment - Rental - Los Angeles,1620
35,Rental Expense,Cash Payment - Rental - New York,4020
35,Rental Expense,Cash Payment - Rental - Detroit,1000
34,Salary Expense,Cash Payment - Salary Expense,19732
34,Depreciation Expense,Non-Cash Expense - Depreciation,6666
34,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
34,Rental Expense,Cash Payment - Rental - Chicago,2400
34,Rental Expense,Cash Payment - Rental - Los Angeles,1620
34,Rental Expense,Cash Payment - Rental - New York,4020
34,Rental Expense,Cash Payment - Rental - Detroit,1000
33,Salary Expense,Cash Payment - Salary Expense,19713
33,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 1933,3300
33,Depreciation Expense,Non-Cash Expense - Depreciation,6666
33,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
33,Rental Expense,Cash Payment - Rental - Chicago,2400
33,Rental Expense,Cash Payment - Rental - Los Angeles,1620
33,Rental Expense,Cash Payment - Rental - New York,4020
33,Rental Expense,Cash Payment - Rental - Detroit,1000
32,Salary Expense,Cash Payment - Salary Expense,19694
32,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4394,22
32,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4410,149
32,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4417,18
32,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4418,20
32,Depreciation Expense,Non-Cash Expense - Depreciation,6666
32,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
32,Rental Expense,Cash Payment - Rental - Chicago,2400
32,Rental Expense,Cash Payment - Rental - Los Angeles,1620
32,Rental Expense,Cash Payment - Rental - New York,4020
32,Rental Expense,Cash Payment - Rental - Detroit,1000
31,Salary Expense,Cash Payment - Salary Expense,19371
31,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4429,114
31,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4610,275
31,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4617,211
31,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4634,175
31,Depreciation Expense,Non-Cash Expense - Depreciation,6666
31,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
31,Rental Expense,Cash Payment - Rental - Chicago,2400
31,Rental Expense,Cash Payment - Rental - Los Angeles,1620
31,Rental Expense,Cash Payment - Rental - New York,4020
31,Rental Expense,Cash Payment - Rental - Detroit,1000
30,Salary Expense,Cash Payment - Salary Expense,19264
30,Depreciation Expense,Non-Cash Expense - Depreciation,6666
30,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
30,Rental Expense,Cash Payment - Rental - Chicago,2400
30,Rental Expense,Cash Payment - Rental - Los Angeles,1620
30,Rental Expense,Cash Payment - Rental - New York,4020
30,Rental Expense,Cash Payment - Rental - Detroit,1000
29,Salary Expense,Cash Payment - Salary Expense,19264
29,Depreciation Expense,Non-Cash Expense - Depreciation,6666
29,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
29,Rental Expense,Cash Payment - Rental - Chicago,2400
29,Rental Expense,Cash Payment - Rental - Los Angeles,1620
29,Rental Expense,Cash Payment - Rental - New York,4020
29,Rental Expense,Cash Payment - Rental - Detroit,1000
28,Salary Expense,Cash Payment - Salary Expense,20368
28,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3872,117
28,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3877,107
28,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3882,159
28,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3978,111
28,Depreciation Expense,Non-Cash Expense - Depreciation,6666
28,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
28,Rental Expense,Cash Payment - Rental - Chicago,2400
28,Rental Expense,Cash Payment - Rental - Los Angeles,1620
28,Rental Expense,Cash Payment - Rental - New York,4020
28,Rental Expense,Cash Payment - Rental - Detroit,1000
27,Salary Expense,Cash Payment - Salary Expense,20314
27,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4044,72
27,Interest Expense ,Cash Payment - Interest - For Overdraft,321
27,Depreciation Expense,Non-Cash Expense - Depreciation,6666
27,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
27,Rental Expense,Cash Payment - Rental - Chicago,2400
27,Rental Expense,Cash Payment - Rental - Los Angeles,1620
27,Rental Expense,Cash Payment - Rental - New York,4020
27,Rental Expense,Cash Payment - Rental - Detroit,1000
26,Salary Expense,Cash Payment - Salary Expense,21454
26,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3687,76
26,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 360,15000
26,Interest Expense ,Cash Payment - Interest - For Overdraft,2697
26,Depreciation Expense,Non-Cash Expense - Depreciation,6666
26,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
26,Rental Expense,Cash Payment - Rental - Chicago,2400
26,Rental Expense,Cash Payment - Rental - Los Angeles,1620
